v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19
56.03992904;13.81924613;7.266589757;58.86040498;10.28356193;98.18341623;1.374587079;0.538135153;1.918330973;0.490228613;1.576148101;1.676460413;0.70913313;1.495746873;12.69127852;12.22128952;5.474084835;32.28391209;5.540681269
3.354603937;15.14859966;26.4669708;75.11280207;6.189411115;17.68624119;1.082241374;0.483595833;1.07510444;0.442679978;1.030944573;1.903084764;0.370316919;0.811116481;45.71293707;20.25614189;15.78126709;36.5265702;25.16565957
74.59615762;84.58153815;4.557866491;86.0765999;78.39391557;26.98253116;1.337931705;0.373756514;1.751594454;0.512173876;1.585923965;1.567749336;0.782730233;0.93478422;12.41733896;29.57801308;1.295350557;36.47533689;13.50374639
96.20153771;31.19284222;56.32988159;72.36654185;42.74172645;83.80434033;1.349821117;0.649481352;1.315443866;0.592414421;1.726903944;0.453136179;0.467637476;1.044160019;25.42845655;4.273278143;7.316040257;22.92851121;25.21539592
85.61943185;25.63673735;33.23757932;42.92522162;79.16323775;91.90696636;1.013452801;0.615861089;1.302960802;0.654739271;1.921873872;1.519881598;0.312649652;0.878854734;12.21591069;24.75606211;14.62840107;24.17638927;18.41535937
8.918922534;73.27032711;27.69657252;30.43401142;66.93570184;59.20533487;1.291154247;0.516600489;1.405263469;0.517330394;1.185987525;1.391289483;0.796546103;1.325543178;3.98331444;26.44643423;16.65199759;36.83747132;26.63814778
33.57622204;21.63327255;51.72175141;0.576796287;53.25973937;17.91011419;1.246932163;0.331451063;1.405602668;0.387736952;1.726928996;0.352932631;0.7354676;1.381656696;3.623025178;21.52393883;2.662032493;13.22546921;31.4508227
16.21152672;31.18028066;65.2206737;67.36320382;37.97653856;77.55932119;1.159153451;0.486443563;1.217783433;0.324225913;1.502469606;1.73323253;0.597068132;1.044434517;16.28946719;25.16835863;7.89385369;5.26555226;13.55585883
37.68952554;87.09091516;79.46597492;89.40627652;75.66547912;67.81564576;0.925694605;0.6672114;1.110718853;0.374123127;1.29886286;1.37427981;0.378227074;0.928738278;25.71985949;13.09925223;3.590477151;49.76471906;45.22639975
53.55182171;86.64663637;75.45627274;9.048556646;26.61386354;54.31257121;1.470524778;0.633572589;1.622087435;0.725634603;1.185700824;0.637290834;0.736853745;1.215120065;2.69396744;15.78968342;3.723111711;27.66697428;15.37132796
20.28619086;79.27148268;10.09273192;43.71785302;34.91925284;68.94520703;1.174424777;0.363369585;1.623417492;0.313371243;1.070729649;1.65295961;0.66385327;1.330431472;25.68719018;10.84172481;6.644451404;31.37019143;34.66740689
71.54296704;14.13924086;60.31830685;35.61420111;33.45492436;50.48064508;0.822702937;0.631800293;1.618154847;0.330980622;1.984099064;0.80350921;0.433681057;1.237389904;39.24691209;12.0944586;10.23872035;46.73091022;6.471801421
41.51538783;57.00238049;20.11864381;71.28822662;11.97021851;1.55604796;1.448707517;0.423556902;1.308089871;0.349576264;1.661814853;1.501022748;0.31872368;1.372998813;24.28331495;21.41542632;6.225130595;43.19502802;12.86509295
36.38461258;63.50390646;75.67535987;42.77808798;51.26903694;13.54676592;0.956126008;0.771009057;1.026497486;0.529840024;1.953913746;1.927668471;0.723578979;1.216358818;29.52311637;27.6976025;7.790320325;48.05339675;30.73365147
61.12151451;21.50618881;35.18164147;31.9942589;50.52284664;28.95730226;0.854835682;0.791010865;1.293370436;0.545162546;1.435380786;1.756214763;0.604978176;0.911331117;18.88459176;19.68491135;14.0194102;29.78817371;2.313360106
28.68183109;4.179375595;5.731674787;37.67971769;24.5036027;42.59331657;1.297184825;0.510721066;1.524030915;0.384274075;1.682035341;1.454011078;0.639392896;1.455139862;46.04218184;27.6232934;1.733340686;22.08362872;20.71501378
58.89935652;83.45342295;56.65772513;63.15458331;50.11054482;94.3397233;0.839407641;0.756775293;1.092468338;0.707152099;1.008251562;0.740696106;0.332579995;0.923353203;22.60805863;19.53210563;0.08601353;27.49240886;9.032738185
15.40086144;50.17002109;18.41962922;42.38304205;59.2303119;59.19351941;0.8923684;0.645403145;1.623522663;0.3718161;1.205455571;1.991024284;0.595727426;0.928557985;9.159834113;19.90720927;14.14156977;36.56841872;1.58206909
35.44502684;55.51372836;18.46530512;10.00937152;32.36766158;37.28312154;0.866076817;0.720830284;1.019750651;0.371381552;1.953679734;1.94010843;0.799981661;1.302131511;24.88022565;9.814470846;11.57254568;21.47801628;32.49704775
44.18395408;53.27997215;67.04857897;85.35735421;62.2888191;59.16903235;1.411682962;0.380430982;1.241885849;0.335799632;1.189185871;1.885092977;0.321927629;0.954608596;6.78655575;3.194255037;11.83787066;15.91484814;8.447389968
3.15077235;3.467843775;51.861206;15.91336757;48.45162863;58.22073889;1.33280242;0.499761341;1.03075195;0.316439096;1.055353222;0.763068562;0.518581732;0.854561616;22.50453922;29.76060168;11.03098661;42.6121723;26.03145661
53.97256578;89.80633134;70.3006714;31.29111607;15.64963868;38.35142015;1.238888047;0.461732045;1.445816333;0.625861514;1.8646565;1.363521559;0.333231712;0.939816989;15.89976698;28.57435722;1.793077001;9.717417066;37.47918281
21.38825604;11.32864701;13.31314014;51.9727935;68.4774459;7.855461352;0.834935533;0.555623656;1.469697726;0.764084881;1.989730251;1.719559559;0.372755509;1.173936714;12.37831078;20.82006199;16.5417624;0.791004673;39.14842373
30.84648002;59.24697486;21.40153602;33.94277954;63.40024484;38.08629811;1.278984564;0.392761589;1.223355539;0.572479454;1.427683449;1.946556902;0.614987908;1.413203493;27.17659083;4.404950459;19.15238827;27.1089585;39.39049174
22.50548028;99.78881031;23.3039742;47.39341356;0.856398884;78.2648707;1.43061294;0.767754323;1.213291027;0.312383019;1.050922135;1.389729861;0.348457456;1.170469712;39.09637331;28.26862229;12.76906986;33.32327515;34.11033049
98.84886169;5.95438215;42.62275316;74.30287285;53.7441764;85.54976529;1.184097245;0.408551527;1.532064426;0.459960958;1.076134101;1.327011372;0.655573557;0.912118157;43.43778078;19.40762044;9.245615634;14.93338499;21.16459159
55.47920791;96.70873056;37.93700229;85.22138306;12.25087143;11.10092858;1.312662129;0.604509448;1.369126121;0.383540916;1.760401301;1.774273897;0.642113029;1.155448785;29.88685027;7.354527572;4.298151219;19.86599482;43.60142935
24.42177292;38.56327375;3.348445687;69.89208693;41.36012413;15.1380559;0.808307776;0.434287564;1.6209473;0.605706097;1.865488975;1.384397891;0.358010936;0.937252405;48.69082766;16.82646573;4.007597319;35.96802213;22.90244297
